2025-09-21 08:58:11 | INFO | AGENT | LangSmith enabled
2025-09-21 08:58:11 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 08:58:11 | INFO | AGENT | Using OpenAI
2025-09-21 08:58:11 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-20 23:51:20 | INFO | AGENT | LangSmith enabled
2025-09-20 23:51:20 | INFO | AGENT | LangSmith tracing enabled
2025-09-20 23:51:20 | INFO | AGENT | Using OpenAI
2025-09-20 23:51:20 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-20 23:59:31 | INFO | AGENT | LangSmith enabled
2025-09-20 23:59:31 | INFO | AGENT | LangSmith tracing enabled
2025-09-20 23:59:31 | INFO | AGENT | Using OpenAI
2025-09-20 23:59:31 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 02:59:14 | INFO | AGENT | LangSmith enabled
2025-09-21 02:59:14 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 02:59:14 | INFO | AGENT | Using OpenAI
2025-09-21 02:59:15 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 03:11:34 | INFO | AGENT | LangSmith enabled
2025-09-21 03:11:34 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 03:11:34 | INFO | AGENT | Using OpenAI
2025-09-21 03:11:35 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 03:23:45 | INFO | AGENT | LangSmith enabled
2025-09-21 03:23:45 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 03:23:45 | INFO | AGENT | Using OpenAI
2025-09-21 03:23:46 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 03:35:55 | INFO | AGENT | LangSmith enabled
2025-09-21 03:35:55 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 03:35:55 | INFO | AGENT | Using OpenAI
2025-09-21 03:35:56 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 03:44:11 | INFO | AGENT | LangSmith enabled
2025-09-21 03:44:11 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 03:44:11 | INFO | AGENT | Using OpenAI
2025-09-21 03:44:11 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 03:53:09 | INFO | AGENT | LangSmith enabled
2025-09-21 03:53:09 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 03:53:09 | INFO | AGENT | Using OpenAI
2025-09-21 03:53:09 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 03:58:34 | INFO | AGENT | LangSmith enabled
2025-09-21 03:58:34 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 03:58:34 | INFO | AGENT | Using OpenAI
2025-09-21 03:58:34 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 04:10:09 | INFO | AGENT | LangSmith enabled
2025-09-21 04:10:09 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 04:10:09 | INFO | AGENT | Using OpenAI
2025-09-21 04:10:09 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 06:59:05 | INFO | AGENT | LangSmith enabled
2025-09-21 06:59:05 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 06:59:05 | INFO | AGENT | Using OpenAI
2025-09-21 06:59:05 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 07:30:22 | INFO | AGENT | LangSmith enabled
2025-09-21 07:30:22 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 07:30:22 | INFO | AGENT | Using OpenAI
2025-09-21 07:30:22 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 07:33:46 | INFO | AGENT | LangSmith enabled
2025-09-21 07:33:46 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 07:33:46 | INFO | AGENT | Using OpenAI
2025-09-21 07:33:47 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 07:50:02 | INFO | AGENT | LangSmith enabled
2025-09-21 07:50:02 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 07:50:02 | INFO | AGENT | Using OpenAI
2025-09-21 07:50:02 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 19:13:03 | INFO | AGENT | LangSmith enabled
2025-09-21 19:13:03 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 19:13:03 | INFO | AGENT | Using OpenAI
2025-09-21 19:13:03 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 19:20:50 | INFO | AGENT | LangSmith enabled
2025-09-21 19:20:50 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 19:20:50 | INFO | AGENT | Using OpenAI
2025-09-21 19:20:50 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 09:26:22 | INFO | AGENT | LangSmith enabled
2025-09-21 09:26:22 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 09:26:22 | INFO | AGENT | Using OpenAI
2025-09-21 09:26:22 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 19:40:10 | INFO | AGENT | LangSmith enabled
2025-09-21 19:40:10 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 19:40:10 | INFO | AGENT | Using OpenAI
2025-09-21 19:40:10 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 09:44:54 | INFO | AGENT | LangSmith enabled
2025-09-21 09:44:54 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 09:44:54 | INFO | AGENT | Using OpenAI
2025-09-21 09:44:54 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 12:26:36 | INFO | AGENT | LangSmith enabled
2025-09-21 12:26:36 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 12:26:36 | INFO | AGENT | Using OpenAI
2025-09-21 12:26:36 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 12:31:18 | INFO | AGENT | LangSmith enabled
2025-09-21 12:31:18 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 12:31:18 | INFO | AGENT | Using OpenAI
2025-09-21 12:31:19 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 12:49:50 | INFO | AGENT | LangSmith enabled
2025-09-21 12:49:50 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 12:49:50 | INFO | AGENT | Using OpenAI
2025-09-21 12:49:50 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 12:58:10 | INFO | AGENT | LangSmith enabled
2025-09-21 12:58:10 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 12:58:10 | INFO | AGENT | Using OpenAI
2025-09-21 12:58:10 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 13:12:39 | INFO | AGENT | LangSmith enabled
2025-09-21 13:12:39 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 13:12:39 | INFO | AGENT | Using OpenAI
2025-09-21 13:12:39 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-21 13:22:10 | INFO | AGENT | LangSmith enabled
2025-09-21 13:22:10 | INFO | AGENT | LangSmith tracing enabled
2025-09-21 13:22:10 | INFO | AGENT | Using OpenAI
2025-09-21 13:22:10 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-22 10:20:48 | INFO | AGENT | LangSmith enabled
2025-09-22 10:20:48 | INFO | AGENT | LangSmith tracing enabled
2025-09-22 10:20:48 | INFO | AGENT | Using OpenAI
2025-09-22 10:20:49 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-22 20:37:04 | INFO | AGENT | LangSmith enabled
2025-09-22 20:37:04 | INFO | AGENT | LangSmith tracing enabled
2025-09-22 20:37:04 | INFO | AGENT | Using OpenAI
2025-09-22 20:37:04 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-22 20:40:38 | INFO | AGENT | LangSmith enabled
2025-09-22 20:40:38 | INFO | AGENT | LangSmith tracing enabled
2025-09-22 20:40:38 | INFO | AGENT | Using OpenAI
2025-09-22 20:40:38 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-22 20:42:15 | INFO | AGENT | LangSmith enabled
2025-09-22 20:42:15 | INFO | AGENT | LangSmith tracing enabled
2025-09-22 20:42:15 | INFO | AGENT | Using OpenAI
2025-09-22 20:42:16 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-22 20:52:05 | INFO | AGENT | LangSmith enabled
2025-09-22 20:52:05 | INFO | AGENT | LangSmith tracing enabled
2025-09-22 20:52:05 | INFO | AGENT | Using OpenAI
2025-09-22 20:52:05 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-22 10:55:30 | INFO | AGENT | LangSmith enabled
2025-09-22 10:55:30 | INFO | AGENT | LangSmith tracing enabled
2025-09-22 10:55:30 | INFO | AGENT | Using OpenAI
2025-09-22 10:55:30 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-25 22:25:35 | INFO | AGENT | LangSmith enabled
2025-09-25 22:25:35 | INFO | AGENT | LangSmith tracing enabled
2025-09-25 22:25:35 | INFO | AGENT | Using OpenAI
2025-09-25 22:25:35 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-25 22:31:18 | INFO | AGENT | LangSmith enabled
2025-09-25 22:31:18 | INFO | AGENT | LangSmith tracing enabled
2025-09-25 22:31:18 | INFO | AGENT | Using OpenAI
2025-09-25 22:31:18 | INFO | AGENT | Token tracking and chat history tables initialized
2025-09-25 22:31:18 | INFO | AGENT | Connecting to ChromaDB at localhost:8030
2025-09-25 22:31:18 | INFO | AGENT | Successfully connected to ChromaDB
2025-09-25 22:31:19 | INFO | AGENT | Processing query with LangGraph agent: What are the key performance metrics for our campaigns? [Thread: default, User: None]
2025-09-25 22:31:19 | INFO | AGENT | Thread config: {'configurable': {'thread_id': 'default', 'user_id': 'anonymous'}}
2025-09-25 22:31:19 | INFO | AGENT | Loaded 0 text messages from chat history for thread default
2025-09-25 22:31:19 | INFO | AGENT | No conversation history found
2025-09-25 22:31:19 | INFO | AGENT | Initial messages count: 2 (including 0 from history)
2025-09-25 22:31:19 | INFO | AGENT | Complete message structure being sent to agent:
2025-09-25 22:31:19 | INFO | AGENT |   1. SystemMessage: You are a Campaign Performance Assistant. You have access to our conversation history and campaign data tools. IMPORTANT: Before using any tools, care...
2025-09-25 22:31:19 | INFO | AGENT |   2. HumanMessage: What are the key performance metrics for our campaigns?
2025-09-25 22:31:19 | INFO | AGENT | Before: app.invoke with populated history
2025-09-25 22:31:19 | INFO | AGENT | 

 messages:
 [HumanMessage(content='What are the key performance metrics for our campaigns?', additional_kwargs={}, response_metadata={})]
2025-09-25 22:31:19 | INFO | AGENT | call_model() - Processing 1 messages for User: None, Thread: default
2025-09-25 22:31:19 | INFO | AGENT | Message types: ['HumanMessage']
2025-09-25 22:31:19 | INFO | AGENT | Data: {}
2025-09-25 22:31:21 | INFO | AGENT | Tokens - Input: 795, Output: 12
2025-09-25 22:31:21 | INFO | AGENT | call_tools() - Thread: default
2025-09-25 22:31:21 | INFO | AGENT | Getting campaign summary statistics
2025-09-25 22:31:21 | INFO | AGENT | 

 messages:
 [HumanMessage(content='What are the key performance metrics for our campaigns?', additional_kwargs={}, response_metadata={}), AIMessage(content='', additional_kwargs={'tool_calls': [{'id': 'call_JhmmkKt3IdMZhDDejSXCXvpi', 'function': {'arguments': '{}', 'name': 'get_campaign_summary_stats'}, 'type': 'function'}], 'refusal': None}, response_metadata={'token_usage': {'completion_tokens': 12, 'prompt_tokens': 795, 'total_tokens': 807, 'completion_tokens_details': {'accepted_prediction_tokens': 0, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0}}, 'model_name': 'gpt-3.5-turbo-0125', 'system_fingerprint': None, 'id': 'chatcmpl-CJfQ0j6ooTo6jcKuDOtW8nVUQrCu2', 'service_tier': 'default', 'finish_reason': 'tool_calls', 'logprobs': None}, id='run--9d6877e0-53bf-4ff3-8a63-a399195750b8-0', tool_calls=[{'name': 'get_campaign_summary_stats', 'args': {}, 'id': 'call_JhmmkKt3IdMZhDDejSXCXvpi', 'type': 'tool_call'}], usage_metadata={'input_tokens': 795, 'output_tokens': 12, 'total_tokens': 807, 'input_token_details': {'audio': 0, 'cache_read': 0}, 'output_token_details': {'audio': 0, 'reasoning': 0}}), ToolMessage(content="{'type': 'text', 'message': 'Campaign Summary Statistics:\\n- Total Campaigns: 1,000\\n- Average Conversion Rate: 3.77%\\n- Average Open Rate: 22.51%\\n- Average Click Rate: 7.41%\\n- Total Conversions: 4,328,048\\n- Total Opens: 25,841,091\\n- Total Clicks: 8,500,460', 'source': 'Campaign Database (campaigns table)'}", name='get_campaign_summary_stats', tool_call_id='call_JhmmkKt3IdMZhDDejSXCXvpi')]
2025-09-25 22:31:21 | INFO | AGENT | call_model() - Processing 3 messages for User: None, Thread: default
2025-09-25 22:31:21 | INFO | AGENT | Message types: ['HumanMessage', 'AIMessage', 'ToolMessage']
2025-09-25 22:31:21 | INFO | AGENT | Data: {}
2025-09-25 22:31:22 | INFO | AGENT | Tokens - Input: 922, Output: 76
2025-09-25 22:31:22 | INFO | AGENT | After: app.invoke with populated history
2025-09-25 22:31:22 | INFO | AGENT | Token usage saved - User: anonymous, Thread: default, Total: 1805
2025-09-25 22:31:22 | INFO | AGENT | Final message content: The key performance metrics for our campaigns are as follows:
- Average Conversion Rate: 3.77%
- Average Open Rate: 22.51%
- Average Click Rate: 7.41%
- Total Conversions: 4,328,048
- Total Opens: 25,841,091
- Total Clicks: 8,500,460
2025-09-25 22:31:22 | INFO | AGENT | Processing query with LangGraph agent: How do we measure campaign success? [Thread: default, User: None]
2025-09-25 22:31:22 | INFO | AGENT | Thread config: {'configurable': {'thread_id': 'default', 'user_id': 'anonymous'}}
2025-09-25 22:31:22 | INFO | AGENT | Loaded 0 text messages from chat history for thread default
2025-09-25 22:31:22 | INFO | AGENT | No conversation history found
2025-09-25 22:31:22 | INFO | AGENT | Initial messages count: 2 (including 0 from history)
2025-09-25 22:31:22 | INFO | AGENT | Complete message structure being sent to agent:
2025-09-25 22:31:22 | INFO | AGENT |   1. SystemMessage: You are a Campaign Performance Assistant. You have access to our conversation history and campaign data tools. IMPORTANT: Before using any tools, care...
2025-09-25 22:31:22 | INFO | AGENT |   2. HumanMessage: How do we measure campaign success?
