2025-09-09 14:50:55 | INFO | API | Valid API key used: Test API Key
2025-09-09 14:50:55 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-09 14:50:55 | INFO | API | Valid API key used: Test API Key
2025-09-09 14:50:55 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-09 14:50:58 | INFO | API | Valid API key used: Test API Key
2025-09-09 14:50:58 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-09 14:50:58 | INFO | API | Valid API key used: Test API Key
2025-09-09 14:50:58 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-09 14:51:09 | INFO | API | Valid API key used: Test API Key
2025-09-09 14:51:09 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-09 14:51:09 | INFO | API | Valid API key used: Test API Key
2025-09-09 14:51:09 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-09 14:51:10 | INFO | API | Valid API key used: Test API Key
2025-09-09 14:51:10 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-09 14:51:10 | INFO | API | Valid API key used: Test API Key
2025-09-09 14:51:10 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-09 14:55:43 | INFO | API | Valid API key used: Test API Key
2025-09-09 14:55:43 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-09 15:25:13 | INFO | API | Valid API key used: Test API Key
2025-09-09 15:25:13 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-09 15:25:13 | INFO | API | Valid API key used: Test API Key
2025-09-09 15:25:13 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-09 15:25:53 | INFO | API | Valid API key used: Test API Key
2025-09-09 15:25:53 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-09 15:25:53 | INFO | API | Valid API key used: Test API Key
2025-09-09 15:25:53 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-09 15:25:53 | INFO | API | Valid API key used: Test API Key
2025-09-09 15:25:53 | INFO | API | API: Getting top 10 campaigns by opens (API Key: Test API Key)
2025-09-09 15:26:28 | INFO | API | Valid API key used: Test API Key
2025-09-09 15:26:28 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-09 15:26:28 | INFO | API | Valid API key used: Test API Key
2025-09-09 15:26:28 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-09 15:26:47 | INFO | API | Valid API key used: Test API Key
2025-09-09 15:26:47 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-09 15:51:53 | INFO | API | Valid API key used: Test API Key
2025-09-09 15:51:53 | INFO | API | API: Getting top 10 campaigns by conversion rate (API Key: Test API Key)
2025-09-09 15:51:54 | INFO | API | Valid API key used: Test API Key
2025-09-09 15:51:54 | INFO | API | API: Getting top 10 campaigns by conversions (API Key: Test API Key)
2025-09-09 15:55:06 | INFO | API | Valid API key used: Test API Key
2025-09-09 15:55:06 | INFO | API | API: Getting campaign details for ID: 101 (API Key: Test API Key)
2025-09-09 15:56:08 | INFO | API | Valid API key used: Test API Key
2025-09-09 15:56:08 | INFO | API | API: Getting campaign details for ID: 101 (API Key: Test API Key)
2025-09-18 16:30:13 | INFO | API | Valid API key used: Test API Key
2025-09-18 16:30:13 | INFO | API | Valid API key used: Test API Key
2025-09-18 16:30:13 | INFO | API | API: Getting top 1 campaigns by opens (API Key: Test API Key)
2025-09-18 16:30:13 | INFO | API | API: Getting top 1 campaigns by opens (API Key: Test API Key)
2025-09-18 16:55:37 | INFO | API | Valid API key used: Test API Key
2025-09-18 16:55:37 | INFO | API | Valid API key used: Test API Key
2025-09-18 16:55:37 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 16:55:37 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 17:01:16 | INFO | API | Valid API key used: Test API Key
2025-09-18 17:01:16 | INFO | API | Valid API key used: Test API Key
2025-09-18 17:01:16 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 17:01:16 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 17:01:37 | INFO | API | Valid API key used: Test API Key
2025-09-18 17:01:37 | INFO | API | Valid API key used: Test API Key
2025-09-18 17:01:37 | INFO | API | API: Getting top 10 campaigns by opens (API Key: Test API Key)
2025-09-18 17:01:37 | INFO | API | API: Getting top 10 campaigns by opens (API Key: Test API Key)
2025-09-18 17:01:48 | INFO | API | Valid API key used: Test API Key
2025-09-18 17:01:48 | INFO | API | Valid API key used: Test API Key
2025-09-18 17:01:48 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 17:01:48 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 17:01:48 | INFO | API | Valid API key used: Test API Key
2025-09-18 17:01:48 | INFO | API | Valid API key used: Test API Key
2025-09-18 17:01:48 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-18 17:01:48 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-18 17:04:27 | INFO | API | Valid API key used: Test API Key
2025-09-18 17:04:27 | INFO | API | Valid API key used: Test API Key
2025-09-18 17:04:27 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 17:04:27 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 17:04:27 | INFO | API | Valid API key used: Test API Key
2025-09-18 17:04:27 | INFO | API | Valid API key used: Test API Key
2025-09-18 17:04:27 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-18 17:04:27 | INFO | API | API: Getting all campaigns (API Key: Test API Key)
2025-09-18 17:04:29 | INFO | API | Valid API key used: Test API Key
2025-09-18 17:04:29 | INFO | API | Valid API key used: Test API Key
2025-09-18 17:04:29 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 17:04:29 | INFO | API | API: Getting campaign summary statistics (API Key: Test API Key)
2025-09-18 17:04:29 | INFO | API | Valid API key used: Test API Key
2025-09-18 17:04:29 | INFO | API | Valid API key used: Test API Key
