2025-09-06 09:22:12 | INFO | databases.setup.setup_all | === Verifying all databases ===
2025-09-06 09:22:12 | SUCCESS | databases.setup.setup_all | ✅ Campaigns database: 1000 records
2025-09-06 09:22:12 | SUCCESS | databases.setup.setup_all | ✅ Conversations database: 3 tables
2025-09-06 09:22:12 | SUCCESS | databases.setup.setup_all | ✅ ChromaDB directory exists: /Users/lolo/shared/projects/turing/sprint-3/project-23/databases/chroma
2025-09-06 09:23:52 | INFO | __main__ | === Verifying all databases ===
2025-09-06 09:23:52 | SUCCESS | __main__ | ✅ Campaigns database: 1000 records
2025-09-06 09:23:52 | SUCCESS | __main__ | ✅ Conversations database: 3 tables
2025-09-06 09:23:52 | SUCCESS | __main__ | ✅ ChromaDB directory exists: /Users/lolo/shared/projects/turing/sprint-3/project-23/databases/chroma
2025-09-20 20:33:52 | INFO | databases.chroma_config | Connecting to ChromaDB at localhost:8030
2025-09-20 20:33:52 | INFO | databases.chroma_config | Successfully connected to ChromaDB
2025-09-20 21:14:10 | INFO | __main__ | Starting document watcher for folder: docs/landing
2025-09-20 21:14:10 | INFO | __main__ | Watching folder: docs/landing for new documents...
2025-09-20 21:16:53 | INFO | __main__ | New document detected: /Users/lolo/shared/projects/turing/sprint-4/project-4/docs_loader/docs/landing/campaign_101_summary_report.pdf
2025-09-20 21:16:54 | INFO | databases.chroma_config | Connecting to ChromaDB at localhost:8030
2025-09-20 21:16:54 | INFO | databases.chroma_config | Successfully connected to ChromaDB
2025-09-20 21:16:55 | INFO | __main__ | Moved campaign_101_summary_report.pdf to done folder
2025-09-20 21:16:55 | INFO | __main__ | Added campaign_101_summary_report.pdf to processed files tracking
2025-09-20 21:16:55 | SUCCESS | __main__ | Successfully ingested: campaign_101_summary_report.pdf
2025-09-20 21:53:42 | INFO | __main__ | Shutting down document watcher.
2025-09-20 21:53:47 | INFO | __main__ | Starting document watcher for folder: docs/landing
2025-09-20 21:53:47 | INFO | __main__ | Watching folder: docs/landing for new documents...
2025-09-20 21:54:01 | INFO | __main__ | New document detected: /Users/lolo/shared/projects/turing/sprint-4/project-4/docs_loader/docs/landing/campaign_102_summary_report.pdf
2025-09-20 21:54:01 | INFO | databases.chroma_config | Connecting to ChromaDB at localhost:8030
2025-09-20 21:54:01 | INFO | databases.chroma_config | Successfully connected to ChromaDB
2025-09-20 21:54:02 | INFO | __main__ | Moved campaign_102_summary_report.pdf to done folder
2025-09-20 21:54:02 | INFO | __main__ | Added campaign_102_summary_report.pdf to processed files tracking
2025-09-20 21:54:02 | SUCCESS | __main__ | Successfully ingested: campaign_102_summary_report.pdf
2025-09-20 22:15:46 | INFO | __main__ | New document detected: /Users/lolo/shared/projects/turing/sprint-4/project-4/docs_loader/docs/landing/campaign_101_summary_report.pdf
2025-09-20 22:15:46 | INFO | databases.chroma_config | Connecting to ChromaDB at localhost:8030
2025-09-20 22:15:46 | INFO | databases.chroma_config | Successfully connected to ChromaDB
2025-09-20 22:15:47 | INFO | __main__ | Moved campaign_101_summary_report.pdf to done folder
2025-09-20 22:15:47 | INFO | __main__ | Added campaign_101_summary_report.pdf to processed files tracking
2025-09-20 22:15:47 | SUCCESS | __main__ | Successfully ingested: campaign_101_summary_report.pdf
